model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     max_rootfinding_iterations = 100
model   INFO     active_ratio = 0.4444444444444444
model   INFO     species_definitions =
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO             CO_g: {'pressure': 1.0000000000000001e-05}
model   INFO             O2_g: {'pressure': 0.4}
model   INFO             *_s: {'site_name': 'top', 'type': 'site', 'total': 1.0}
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rate_algo = CT
model   INFO     temperature = 500
model   INFO     rootfinding = MDNewton
model   INFO     tolerance = 1e-15
model   INFO     unitcell_area = 9e-20
model   INFO     corrector = ThermodynamicCorrector
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          35.80%            3.579918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          36.00%            3.599918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          36.20%            3.619918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          36.40%            3.639918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          36.60%            3.659918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          36.80%            3.679918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          37.00%            3.699918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          37.20%            3.719918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          37.40%            3.739918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          37.60%            3.759918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          37.80%            3.779918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          38.00%            3.799918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          38.20%            3.819918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          38.40%            3.839918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          38.60%            3.859918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          38.80%            3.879918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          39.00%            3.899918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          39.20%            3.919918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          39.40%            3.939918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          39.60%            3.959918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          39.80%            3.979918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          40.00%            3.999918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          40.20%            4.019918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          40.40%            4.039918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          40.60%            4.059918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          40.80%            4.079918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          41.00%            4.099918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          41.20%            4.119918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          41.40%            4.139918      5.01217760e-11      9.99932175e-01
model.solvers.SteadyStateSolver   INFO          41.60%            4.159918      5.01217760e-11      9.99932175e-01
