model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rate_algo = CT
model   INFO     active_ratio = 0.444444444444
model   INFO     temperature = 500
model   INFO     plotter = EnergyProfilePlotter
model   INFO     rootfinding = MDNewton
model   INFO     species_definitions =
model   INFO             *_t: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             O2_g: {'pressure': 9.9999999999999995e-08}
model   INFO             CO2_g: {'pressure': 1.32e-07}
model   INFO     max_rootfinding_iterations = 100
model   INFO     rxn_expressions =
model   INFO             CO_g + *_t -> CO_t
model   INFO             O2_g + 2*_t -> 2O_t
model   INFO             CO_t + O_t <-> CO-O_2t -> CO2_g + 2*_t
model   INFO     corrector = ThermodynamicCorrector
model   INFO     tolerance = 1e-50
model   INFO     unitcell_area = 9e-20
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.000100

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_t                 O_t
model.solvers.SteadyStateSolver   INFO          32.40%            3.240000      1.00000000e+00      5.91438064e-33
model.solvers.SteadyStateSolver   INFO          32.60%            3.260000      1.00000000e+00      5.88916660e-33
model.solvers.SteadyStateSolver   INFO          32.80%            3.280000      1.00000000e+00      5.86395256e-33
model.solvers.SteadyStateSolver   INFO          33.00%            3.300000      1.00000000e+00      5.83873853e-33
model.solvers.SteadyStateSolver   INFO          33.20%            3.320000      1.00000000e+00      5.81352449e-33
model.solvers.SteadyStateSolver   INFO          33.40%            3.340000      1.00000000e+00      5.78831045e-33
model.solvers.SteadyStateSolver   INFO          33.60%            3.360000      1.00000000e+00      5.76309642e-33
model.solvers.SteadyStateSolver   INFO          33.80%            3.380000      1.00000000e+00      5.73788238e-33
model.solvers.SteadyStateSolver   INFO          34.00%            3.400000      1.00000000e+00      5.71266834e-33
model.solvers.SteadyStateSolver   INFO          34.20%            3.420000      1.00000000e+00      5.68745431e-33
model.solvers.SteadyStateSolver   INFO          34.40%            3.440000      1.00000000e+00      5.66224027e-33
model.solvers.SteadyStateSolver   INFO          34.60%            3.460000      1.00000000e+00      5.63702624e-33
model.solvers.SteadyStateSolver   INFO          34.80%            3.480000      1.00000000e+00      5.61181220e-33
model.solvers.SteadyStateSolver   INFO          35.00%            3.500000      1.00000000e+00      5.58659816e-33
model.solvers.SteadyStateSolver   INFO          35.20%            3.520000      1.00000000e+00      5.56138413e-33
model.solvers.SteadyStateSolver   INFO          35.40%            3.540000      1.00000000e+00      5.53617009e-33
model.solvers.SteadyStateSolver   INFO          35.60%            3.560000      1.00000000e+00      5.51095605e-33
model.solvers.SteadyStateSolver   INFO          35.80%            3.580000      1.00000000e+00      5.48574202e-33
model.solvers.SteadyStateSolver   INFO          36.00%            3.600000      1.00000000e+00      5.46052798e-33
model.solvers.SteadyStateSolver   INFO          36.20%            3.620000      1.00000000e+00      5.43531394e-33
model.solvers.SteadyStateSolver   INFO          36.40%            3.640000      1.00000000e+00      5.41009991e-33
model.solvers.SteadyStateSolver   INFO          36.60%            3.660000      1.00000000e+00      5.38488587e-33
model.solvers.SteadyStateSolver   INFO          36.80%            3.680000      1.00000000e+00      5.35967183e-33
model.solvers.SteadyStateSolver   INFO          37.00%            3.700000      1.00000000e+00      5.33445780e-33
model.solvers.SteadyStateSolver   INFO          37.20%            3.720000      1.00000000e+00      5.30924376e-33
model.solvers.SteadyStateSolver   INFO          37.40%            3.740000      1.00000000e+00      5.28402972e-33
model.solvers.SteadyStateSolver   INFO          37.60%            3.760000      1.00000000e+00      5.25881569e-33
model.solvers.SteadyStateSolver   INFO          37.80%            3.780000      1.00000000e+00      5.23360165e-33
model.solvers.SteadyStateSolver   INFO          38.00%            3.800000      1.00000000e+00      5.20838761e-33
model.solvers.SteadyStateSolver   INFO          38.20%            3.820000      1.00000000e+00      5.18317358e-33
model.solvers.SteadyStateSolver   INFO          38.40%            3.840000      1.00000000e+00      5.15795954e-33
model.solvers.SteadyStateSolver   INFO          38.60%            3.860000      1.00000000e+00      5.13274550e-33
model.solvers.SteadyStateSolver   INFO          38.80%            3.880000      1.00000000e+00      5.10753147e-33
model.solvers.SteadyStateSolver   INFO          39.00%            3.900000      1.00000000e+00      5.08231743e-33
model.solvers.SteadyStateSolver   INFO          39.20%            3.920000      1.00000000e+00      5.05710339e-33
model.solvers.SteadyStateSolver   INFO          39.40%            3.940000      1.00000000e+00      5.03188936e-33
model.solvers.SteadyStateSolver   INFO          39.60%            3.960000      1.00000000e+00      5.00667532e-33
model.solvers.SteadyStateSolver   INFO          39.80%            3.980000      1.00000000e+00      4.98146128e-33
model.solvers.SteadyStateSolver   INFO          40.00%            4.000000      1.00000000e+00      4.95624725e-33
model.solvers.SteadyStateSolver   INFO          40.20%            4.020000      1.00000000e+00      4.93103321e-33
model.solvers.SteadyStateSolver   INFO          40.40%            4.040000      1.00000000e+00      4.90581917e-33
model.solvers.SteadyStateSolver   INFO          40.60%            4.060000      1.00000000e+00      4.88060514e-33
model.solvers.SteadyStateSolver   INFO          40.80%            4.080000      1.00000000e+00      4.85539110e-33
model.solvers.SteadyStateSolver   INFO          41.00%            4.100000      1.00000000e+00      4.83017706e-33
model.solvers.SteadyStateSolver   INFO          41.20%            4.120000      1.00000000e+00      4.80496303e-33
model.solvers.SteadyStateSolver   INFO          41.40%            4.140000      1.00000000e+00      4.77974899e-33
model.solvers.SteadyStateSolver   INFO          41.60%            4.160000      1.00000000e+00      4.75453495e-33
model.solvers.SteadyStateSolver   INFO          41.80%            4.180000      1.00000000e+00      4.72932092e-33
model.solvers.SteadyStateSolver   INFO          42.00%            4.200000      1.00000000e+00      4.70410688e-33
model.solvers.SteadyStateSolver   INFO          42.20%            4.220000      1.00000000e+00      4.67889285e-33
model.solvers.SteadyStateSolver   INFO          42.40%            4.240000      1.00000000e+00      4.65367881e-33
model.solvers.SteadyStateSolver   INFO          42.60%            4.260000      1.00000000e+00      4.62846477e-33
model.solvers.SteadyStateSolver   INFO          42.80%            4.280000      1.00000000e+00      4.60325074e-33
model.solvers.SteadyStateSolver   INFO          43.00%            4.300000      1.00000000e+00      4.57803670e-33
model.solvers.SteadyStateSolver   INFO          43.20%            4.320000      1.00000000e+00      4.55282266e-33
model.solvers.SteadyStateSolver   INFO          43.40%            4.340000      1.00000000e+00      4.52760863e-33
model.solvers.SteadyStateSolver   INFO          43.60%            4.360000      1.00000000e+00      4.50239459e-33
model.solvers.SteadyStateSolver   INFO          43.80%            4.380000      1.00000000e+00      6.73021085e-33
model.solvers.SteadyStateSolver   INFO          44.00%            4.400000      1.00000000e+00      6.70514862e-33
model.solvers.SteadyStateSolver   INFO          44.20%            4.420000      1.00000000e+00      6.68022747e-33
model.solvers.SteadyStateSolver   INFO          44.40%            4.440000      1.00000000e+00      6.65544740e-33
model.solvers.SteadyStateSolver   INFO          44.60%            4.460000      1.00000000e+00      6.63080843e-33
