model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s -> CO_s
model   INFO             O2_g + 2*_s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     tolerance = 1e-30
model   INFO     plotter = EnergyProfilePlotter
model   INFO     corrector = ThermodynamicCorrector
model   INFO     unitcell_area = 9e-20
model   INFO     species_definitions =
model   INFO             O2_g: {'pressure': 0.20000000000000001}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO             CO_g: {'pressure': 0.1}
model   INFO             CO2_g: {'pressure': 0.01}
model   INFO     rate_algo = CT
model   INFO     rootfinding = MDNewton
model   INFO     max_rootfinding_iterations = 100
model   INFO     temperature = 500
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 10.00  step = 0.00

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          28.00%            2.799801      1.00000000e+00      1.54057510e-26
model.solvers.SteadyStateSolver   INFO          28.20%            2.819801      1.00000000e+00      1.53443354e-26
model.solvers.SteadyStateSolver   INFO          28.40%            2.839801      1.00000000e+00      1.52829198e-26
model.solvers.SteadyStateSolver   INFO          28.60%            2.859801      1.00000000e+00      1.52215042e-26
model.solvers.SteadyStateSolver   INFO          28.80%            2.879801      1.00000000e+00      1.51600886e-26
model.solvers.SteadyStateSolver   INFO          29.00%            2.899801      1.00000000e+00      1.50986729e-26
model.solvers.SteadyStateSolver   INFO          29.20%            2.919801      1.00000000e+00      1.50372573e-26
model.solvers.SteadyStateSolver   INFO          29.40%            2.939801      1.00000000e+00      1.49758417e-26
model.solvers.SteadyStateSolver   INFO          29.60%            2.959801      1.00000000e+00      1.49144261e-26
model.solvers.SteadyStateSolver   INFO          29.80%            2.979801      1.00000000e+00      1.48530105e-26
model.solvers.SteadyStateSolver   INFO          30.00%            2.999801      1.00000000e+00      1.47915948e-26
model.solvers.SteadyStateSolver   INFO          30.20%            3.019801      1.00000000e+00      1.47301792e-26
model.solvers.SteadyStateSolver   INFO          30.40%            3.039801      1.00000000e+00      1.46687636e-26
model.solvers.SteadyStateSolver   INFO          30.60%            3.059801      1.00000000e+00      1.46073480e-26
model.solvers.SteadyStateSolver   INFO          30.80%            3.079801      1.00000000e+00      1.45459323e-26
model.solvers.SteadyStateSolver   INFO          31.00%            3.099801      1.00000000e+00      1.44845167e-26
model.solvers.SteadyStateSolver   INFO          31.20%            3.119801      1.00000000e+00      1.44231011e-26
model.solvers.SteadyStateSolver   INFO          31.40%            3.139801      1.00000000e+00      1.43616855e-26
model.solvers.SteadyStateSolver   INFO          31.60%            3.159801      1.00000000e+00      1.43002699e-26
model.solvers.SteadyStateSolver   INFO          31.80%            3.179801      1.00000000e+00      1.42388542e-26
model.solvers.SteadyStateSolver   INFO          32.00%            3.199801      1.00000000e+00      1.41774386e-26
model.solvers.SteadyStateSolver   INFO          32.20%            3.219801      1.00000000e+00      1.41160230e-26
model.solvers.SteadyStateSolver   INFO          32.40%            3.239801      1.00000000e+00      1.40546074e-26
model.solvers.SteadyStateSolver   INFO          32.60%            3.259801      1.00000000e+00      1.39931917e-26
model.solvers.SteadyStateSolver   INFO          32.80%            3.279801      1.00000000e+00      1.39317761e-26
model.solvers.SteadyStateSolver   INFO          33.00%            3.299801      1.00000000e+00      1.38703605e-26
model.solvers.SteadyStateSolver   INFO          33.20%            3.319801      1.00000000e+00      1.38089449e-26
model.solvers.SteadyStateSolver   INFO          33.40%            3.339801      1.00000000e+00      1.37475293e-26
model.solvers.SteadyStateSolver   INFO          33.60%            3.359801      1.00000000e+00      1.36861136e-26
model.solvers.SteadyStateSolver   INFO          33.80%            3.379801      1.00000000e+00      1.36246980e-26
model.solvers.SteadyStateSolver   INFO          34.00%            3.399801      1.00000000e+00      1.35632824e-26
model.solvers.SteadyStateSolver   INFO          34.20%            3.419801      1.00000000e+00      1.35018668e-26
model.solvers.SteadyStateSolver   INFO          34.40%            3.439801      1.00000000e+00      1.34404512e-26
model.solvers.SteadyStateSolver   INFO          34.60%            3.459801      1.00000000e+00      1.33790355e-26
model.solvers.SteadyStateSolver   INFO          34.80%            3.479801      1.00000000e+00      1.33176199e-26
model.solvers.SteadyStateSolver   INFO          35.00%            3.499801      1.00000000e+00      1.32562043e-26
model.solvers.SteadyStateSolver   INFO          35.20%            3.519801      1.00000000e+00      1.31947887e-26
model.solvers.SteadyStateSolver   INFO          35.40%            3.539801      1.00000000e+00      1.31333730e-26
model.solvers.SteadyStateSolver   INFO          35.60%            3.559801      1.00000000e+00      1.30719574e-26
model.solvers.SteadyStateSolver   INFO          35.80%            3.579801      1.00000000e+00      1.30105418e-26
model.solvers.SteadyStateSolver   INFO          36.00%            3.599801      1.00000000e+00      1.29491262e-26
model.solvers.SteadyStateSolver   INFO          36.20%            3.619801      1.00000000e+00      1.28877106e-26
model.solvers.SteadyStateSolver   INFO          36.40%            3.639801      1.00000000e+00      1.28262949e-26
model.solvers.SteadyStateSolver   INFO          36.60%            3.659801      1.00000000e+00      1.27648793e-26
model.solvers.SteadyStateSolver   INFO          36.80%            3.679801      1.00000000e+00      1.27034637e-26
model.solvers.SteadyStateSolver   INFO          37.00%            3.699801      1.00000000e+00      1.26420481e-26
model.solvers.SteadyStateSolver   INFO          37.20%            3.719801      1.00000000e+00      1.25806324e-26
model.solvers.SteadyStateSolver   INFO          37.40%            3.739801      1.00000000e+00      1.25192168e-26
model.solvers.SteadyStateSolver   INFO          37.60%            3.759801      1.00000000e+00      1.24578012e-26
model.solvers.SteadyStateSolver   INFO          37.80%            3.779801      1.00000000e+00      1.23963856e-26
model.solvers.SteadyStateSolver   INFO          38.00%            3.799801      1.00000000e+00      1.23349700e-26
model.solvers.SteadyStateSolver   INFO          38.20%            3.819801      1.00000000e+00      1.22735543e-26
model.solvers.SteadyStateSolver   INFO          38.40%            3.839801      1.00000000e+00      1.22121387e-26
model.solvers.SteadyStateSolver   INFO          38.60%            3.859801      1.00000000e+00      1.21507231e-26
model.solvers.SteadyStateSolver   INFO          38.80%            3.879801      1.00000000e+00      1.20893075e-26
model.solvers.SteadyStateSolver   INFO          39.00%            3.899801      1.00000000e+00      1.20278919e-26
model.solvers.SteadyStateSolver   INFO          39.20%            3.919801      1.00000000e+00      1.19664762e-26
model.solvers.SteadyStateSolver   INFO          39.40%            3.939801      1.00000000e+00      1.19050606e-26
model.solvers.SteadyStateSolver   INFO          39.60%            3.959801      1.00000000e+00      1.18436450e-26
model.solvers.SteadyStateSolver   INFO          39.80%            3.979801      1.00000000e+00      1.17822294e-26
model.solvers.SteadyStateSolver   INFO          40.00%            3.999801      1.00000000e+00      1.17208137e-26
model.solvers.SteadyStateSolver   INFO          40.20%            4.019801      1.00000000e+00      1.16593981e-26
model.solvers.SteadyStateSolver   INFO          40.40%            4.039801      1.00000000e+00      1.15979825e-26
model.solvers.SteadyStateSolver   INFO          40.60%            4.059801      1.00000000e+00      1.15365669e-26
model.solvers.SteadyStateSolver   INFO          40.80%            4.079801      1.00000000e+00      1.14751513e-26
model.solvers.SteadyStateSolver   INFO          41.00%            4.099801      1.00000000e+00      1.14137356e-26
model.solvers.SteadyStateSolver   INFO          41.20%            4.119801      1.00000000e+00      1.13523200e-26
model.solvers.SteadyStateSolver   INFO          41.40%            4.139801      1.00000000e+00      1.12909044e-26
