model   INFO     ------------------------------------
model   INFO      Model is runing in MPI Environment 
model   INFO      Number of process: 1
model   INFO     ------------------------------------
model   INFO      
model   INFO     Loading Kinetic Model...

model   INFO     read in parameters...
model   INFO     unitcell_area = 9e-20
model   INFO     tolerance = 1e-50
model   INFO     rxn_expressions =
model   INFO             CO_g + *_s <-> C-O_s -> CO_s
model   INFO             O2_g + 2*_s <-> O-O_2s -> 2O_s
model   INFO             CO_s + O_s <-> CO-O_2s -> CO2_g + 2*_s
model   INFO     temperature = 500
model   INFO     corrector = ThermodynamicCorrector
model   INFO     plotter = EnergyProfilePlotter
model   INFO     max_rootfinding_iterations = 100
model   INFO     rate_algo = TST
model   INFO     species_definitions =
model   INFO             CO_g: {'pressure': 1e-05}
model   INFO             CO2_g: {'pressure': 0.0}
model   INFO             O2_g: {'pressure': 5}
model   INFO             *_s: {'type': 'site', 'total': 1.0, 'site_name': 'top'}
model   INFO     rootfinding = MDNewton
model   INFO     active_ratio = 0.4444444444444444
model   INFO     Parsing elementary rxns...
model   INFO     MicroKineticModel creating...success!

model.solvers.SteadyStateSolver   INFO     entering lsoda ODE integration loop...
model.solvers.SteadyStateSolver   INFO     start = 0.00  end = 0.00  step = 0.000000

model.solvers.SteadyStateSolver   INFO        process             time(s)                CO_s                 O_s
model.solvers.SteadyStateSolver   INFO          24.00%            0.000120      9.95869975e-01      1.87235339e-04
model.solvers.SteadyStateSolver   INFO          24.20%            0.000121      9.95905832e-01      1.77186412e-04
model.solvers.SteadyStateSolver   INFO          24.40%            0.000122      9.95939751e-01      1.67684954e-04
model.solvers.SteadyStateSolver   INFO          24.60%            0.000123      9.95971837e-01      1.58701190e-04
model.solvers.SteadyStateSolver   INFO          24.80%            0.000124      9.96002187e-01      1.50206962e-04
model.solvers.SteadyStateSolver   INFO          25.00%            0.000125      9.96030897e-01      1.42175626e-04
model.solvers.SteadyStateSolver   INFO          25.20%            0.000126      9.96058053e-01      1.34581979e-04
model.solvers.SteadyStateSolver   INFO          25.40%            0.000127      9.96083739e-01      1.27402208e-04
model.solvers.SteadyStateSolver   INFO          25.60%            0.000128      9.96108035e-01      1.20613814e-04
model.solvers.SteadyStateSolver   INFO          25.80%            0.000129      9.96131015e-01      1.14195481e-04
model.solvers.SteadyStateSolver   INFO          26.00%            0.000130      9.96152750e-01      1.08127037e-04
model.solvers.SteadyStateSolver   INFO          26.20%            0.000131      9.96173307e-01      1.02389431e-04
model.solvers.SteadyStateSolver   INFO          26.40%            0.000132      9.96192750e-01      9.69646541e-05
model.solvers.SteadyStateSolver   INFO          26.60%            0.000133      9.96211140e-01      9.18356597e-05
model.solvers.SteadyStateSolver   INFO          26.80%            0.000134      9.96228532e-01      8.69863232e-05
model.solvers.SteadyStateSolver   INFO          27.00%            0.000135      9.96244981e-01      8.24014124e-05
model.solvers.SteadyStateSolver   INFO          27.20%            0.000136      9.96260538e-01      7.80665352e-05
model.solvers.SteadyStateSolver   INFO          27.40%            0.000137      9.96275251e-01      7.39680600e-05
model.solvers.SteadyStateSolver   INFO          27.60%            0.000138      9.96289166e-01      7.00930933e-05
model.solvers.SteadyStateSolver   INFO          27.80%            0.000139      9.96302325e-01      6.64294582e-05
model.solvers.SteadyStateSolver   INFO          28.00%            0.000140      9.96314769e-01      6.29656490e-05
model.solvers.SteadyStateSolver   INFO          28.20%            0.000141      9.96326538e-01      5.96907678e-05
model.solvers.SteadyStateSolver   INFO          28.40%            0.000142      9.96337668e-01      5.65945074e-05
model.solvers.SteadyStateSolver   INFO          28.60%            0.000143      9.96348193e-01      5.36671320e-05
model.solvers.SteadyStateSolver   INFO          28.80%            0.000144      9.96358146e-01      5.08994418e-05
model.solvers.SteadyStateSolver   INFO          29.00%            0.000145      9.96367559e-01      4.82827256e-05
model.solvers.SteadyStateSolver   INFO          29.20%            0.000146      9.96376460e-01      4.58087460e-05
model.solvers.SteadyStateSolver   INFO          29.40%            0.000147      9.96384877e-01      4.34697230e-05
model.solvers.SteadyStateSolver   INFO          29.60%            0.000148      9.96392837e-01      4.12583063e-05
model.solvers.SteadyStateSolver   INFO          29.80%            0.000149      9.96400364e-01      3.91675326e-05
model.solvers.SteadyStateSolver   INFO          30.00%            0.000150      9.96407481e-01      3.71908175e-05
model.solvers.SteadyStateSolver   INFO          30.20%            0.000151      9.96414212e-01      3.53219426e-05
model.solvers.SteadyStateSolver   INFO          30.40%            0.000152      9.96420576e-01      3.35550324e-05
model.solvers.SteadyStateSolver   INFO          30.60%            0.000153      9.96426594e-01      3.18845218e-05
model.solvers.SteadyStateSolver   INFO          30.80%            0.000154      9.96432285e-01      3.03051493e-05
model.solvers.SteadyStateSolver   INFO          31.00%            0.000155      9.96437666e-01      2.88119455e-05
model.solvers.SteadyStateSolver   INFO          31.20%            0.000156      9.96442754e-01      2.74002149e-05
model.solvers.SteadyStateSolver   INFO          31.40%            0.000157      9.96447565e-01      2.60655102e-05
model.solvers.SteadyStateSolver   INFO          31.60%            0.000158      9.96452115e-01      2.48036269e-05
model.solvers.SteadyStateSolver   INFO          31.80%            0.000159      9.96456417e-01      2.36105941e-05
model.solvers.SteadyStateSolver   INFO          32.00%            0.000160      9.96460484e-01      2.24826604e-05
model.solvers.SteadyStateSolver   INFO          32.20%            0.000161      9.96464330e-01      2.14162714e-05
model.solvers.SteadyStateSolver   INFO          32.40%            0.000162      9.96467967e-01      2.04080674e-05
model.solvers.SteadyStateSolver   INFO          32.60%            0.000163      9.96471406e-01      1.94548752e-05
model.solvers.SteadyStateSolver   INFO          32.80%            0.000164      9.96474657e-01      1.85536966e-05
model.solvers.SteadyStateSolver   INFO          33.00%            0.000165      9.96477731e-01      1.77016915e-05
model.solvers.SteadyStateSolver   INFO          33.20%            0.000166      9.96480638e-01      1.68961756e-05
model.solvers.SteadyStateSolver   INFO          33.40%            0.000167      9.96483387e-01      1.61346133e-05
model.solvers.SteadyStateSolver   INFO          33.60%            0.000168      9.96485985e-01      1.54146094e-05
model.solvers.SteadyStateSolver   INFO          33.80%            0.000169      9.96488443e-01      1.47338944e-05
model.solvers.SteadyStateSolver   INFO          34.00%            0.000170      9.96490766e-01      1.40903232e-05
